Angle,Intens,Altitude,Pressure
-1.0347278589506459e-13,82.7874,100,1001.58
0.08726646259989645,98.2384,100,1001.58
0.1745329251998966,128.06699999999998,100,1001.58
0.26179938779889667,166.14399999999998,100,1001.58
0.3490658503988966,203.818,100,1001.58
0.4363323129988965,240.645,100,1001.58
0.5235987755978966,279.37600000000003,100,1001.58
0.6108652381979965,316.217,100,1001.58
0.6981317007976966,350.94800000000004,100,1001.58
0.7853981633973965,383.026,100,1001.58
0.8726646259971965,412.856,100,1001.58
0.9599310885968966,439.544,100,1001.58
1.0471975511965965,462.953,100,1001.58
1.1344640137962965,482.803,100,1001.58
1.2217304763959966,499.00300000000004,100,1001.58
1.3089969389956966,511.808,100,1001.58
1.3962634015954967,520.257,100,1001.58
1.4835298641951666,524.681,100,1001.58
1.5707963267948875,525.368,100,1001.58
1.6580627893946065,559.572,100,1001.58
1.7453292519942964,568.22,100,1001.58
1.8325957145939966,594.943,100,1001.58
1.9198621771937965,605.1999999999999,100,1001.58
2.0071286397934966,611.735,100,1001.58
2.0943951023931966,625.047,100,1001.58
2.1816615649928965,624.313,100,1001.58
2.2689280275925965,619.967,100,1001.58
2.3561944901922964,622.253,100,1001.58
2.4434609527920967,620.93,100,1001.58
2.5307274153917967,615.321,100,1001.58
2.6179938779918963,608.4680000000001,100,1001.58
2.705260340590897,606.55,100,1001.58
2.7925268031908965,602.886,100,1001.58
2.8797932657908962,595.027,100,1001.58
2.9670597283898967,585.9580000000001,100,1001.58
3.0543261909898964,615.74,100,1001.58
3.1415926535898966,618.661,100,1001.58
3.2288591161898967,615.739,100,1001.58
3.3161255787888964,590.779,100,1001.58
3.4033920413888965,598.3100000000001,100,1001.58
3.4906585039888967,604.823,100,1001.58
3.5779249665878967,609.13,100,1001.58
3.6651914291878964,610.981,100,1001.58
3.7524578917878966,615.79,100,1001.58
3.8397243543878967,620.9870000000001,100,1001.58
3.9269908169868963,622.336,100,1001.58
4.0142572795868965,620.172,100,1001.58
4.101523742186897,624.6370000000001,100,1001.58
4.188790204785897,625.61,100,1001.58
4.276056667385896,612.311,100,1001.58
4.363323129985897,605.739,100,1001.58
4.450589592585897,595.3720000000001,100,1001.58
4.537856055184896,568.279,100,1001.58
4.625122517784897,559.4839999999999,100,1001.58
4.712388980384897,524.705,100,1001.58
4.799655442983896,524.079,100,1001.58
4.886921905583897,519.67,100,1001.58
4.9741883681838965,511.2540000000001,100,1001.58
5.061454830783896,498.478,100,1001.58
5.148721293382897,482.28000000000003,100,1001.58
5.2359877559828965,462.44199999999995,100,1001.58
5.323254218582896,439.021,100,1001.58
5.410520681181897,412.335,100,1001.58
5.497787143781896,382.52000000000004,100,1001.58
5.585053606381897,350.474,100,1001.58
5.672320068981897,315.79699999999997,100,1001.58
5.759586531580896,279.027,100,1001.58
5.846852994180897,240.347,100,1001.58
5.934119456780897,203.457,100,1001.58
6.021385919380896,165.782,100,1001.58
6.108652381979897,127.772,100,1001.58
6.1959188445798965,98.11269999999999,100,1001.58
6.283185307179896,82.7874,100,1001.58
6.370451769778897,98.2384,100,1001.58
-1.0347278589506459e-13,7.0660300000000005,3000,701.2
0.08726646259989645,8.375,3000,701.2
0.1745329251998966,11.363,3000,701.2
0.26179938779889667,15.1733,3000,701.2
0.3490658503988966,19.0829,3000,701.2
0.4363323129988965,22.9844,3000,701.2
0.5235987755978966,27.1424,3000,701.2
0.6108652381979965,31.289099999999998,3000,701.2
0.6981317007976966,35.304,3000,701.2
0.7853981633973965,39.2142,3000,701.2
0.8726646259971965,42.778299999999994,3000,701.2
0.9599310885968966,45.9441,3000,701.2
1.0471975511965965,48.7877,3000,701.2
1.1344640137962965,51.2383,3000,701.2
1.2217304763959966,53.2992,3000,701.2
1.3089969389956966,54.9438,3000,701.2
1.3962634015954967,56.244,3000,701.2
1.4835298641951666,56.9678,3000,701.2
1.5707963267948875,57.349599999999995,3000,701.2
1.6580627893946065,116.248,3000,701.2
1.7453292519942964,130.97799999999998,3000,701.2
1.8325957145939966,197.26999999999998,3000,701.2
1.9198621771937965,229.297,3000,701.2
2.0071286397934966,268.647,3000,701.2
2.0943951023931966,309.032,3000,701.2
2.1816615649928965,345.288,3000,701.2
2.2689280275925965,381.606,3000,701.2
2.3561944901922964,448.664,3000,701.2
2.4434609527920967,517.63,3000,701.2
2.5307274153917967,593.948,3000,701.2
2.6179938779918963,680.136,3000,701.2
2.705260340590897,784.977,3000,701.2
2.7925268031908965,891.1039999999999,3000,701.2
2.8797932657908962,989.789,3000,701.2
2.9670597283898967,1081.77,3000,701.2
3.0543261909898964,1227.92,3000,701.2
3.1415926535898966,1287.39,3000,701.2
3.2288591161898967,1227.9,3000,701.2
3.3161255787888964,1084.17,3000,701.2
3.4033920413888965,991.303,3000,701.2
3.4906585039888967,891.871,3000,701.2
3.5779249665878967,785.765,3000,701.2
3.6651914291878964,681.278,3000,701.2
3.7524578917878966,594.223,3000,701.2
3.8397243543878967,517.675,3000,701.2
3.9269908169868963,448.869,3000,701.2
4.0142572795868965,381.977,3000,701.2
4.101523742186897,345.773,3000,701.2
4.188790204785897,309.725,3000,701.2
4.276056667385896,269.394,3000,701.2
4.363323129985897,229.968,3000,701.2
4.450589592585897,197.86599999999999,3000,701.2
4.537856055184896,131.168,3000,701.2
4.625122517784897,116.357,3000,701.2
4.712388980384897,56.9067,3000,701.2
4.799655442983896,56.5956,3000,701.2
4.886921905583897,55.9219,3000,701.2
4.9741883681838965,54.688599999999994,3000,701.2
5.061454830783896,53.0908,3000,701.2
